Philipin - Points: 4 +/-: 3/8, Wins: 0, Losses: 4, Draws: 4
Singapore - Points: 4 +/-: 3/10, Wins: 0, Losses: 4, Draws: 4
Indonesia - Points: 3 +/-: 5/13, Wins: 0, Losses: 5, Draws: 3
Campuchia - Points: 3 +/-: 1/12, Wins: 0, Losses: 5, Draws: 3
VietNam - Points: 19 +/-: 18/9, Wins: 6, Losses: 1, Draws: 1
ThaiLand - Points: 19 +/-: 12/5, Wins: 6, Losses: 1, Draws: 1
Australia - Points: 15 +/-: 18/12, Wins: 4, Losses: 1, Draws: 3
Malaisia - Points: 13 +/-: 7/7, Wins: 4, Losses: 3, Draws: 1
Indonesia - Points: 12 +/-: 11/10, Wins: 3, Losses: 2, Draws: 3
Myanmar - Points: 12 +/-: 8/10, Wins: 4, Losses: 4, Draws: 0
Philipin - Points: 4 +/-: 3/9, Wins: 0, Losses: 4, Draws: 4
Singapore - Points: 3 +/-: 3/9, Wins: 0, Losses: 5, Draws: 3
Campuchia - Points: 2 +/-: 1/10, Wins: 0, Losses: 6, Draws: 2
VietNam - Points: 22 +/-: 19/8, Wins: 7, Losses: 0, Draws: 1
ThaiLand - Points: 17 +/-: 13/8, Wins: 5, Losses: 1, Draws: 2
Indonesia - Points: 15 +/-: 10/5, Wins: 4, Losses: 1, Draws: 3
Malaisia - Points: 11 +/-: 9/8, Wins: 3, Losses: 3, Draws: 2
Philipin - Points: 7 +/-: 2/4, Wins: 1, Losses: 3, Draws: 4
Australia - Points: 6 +/-: 5/7, Wins: 0, Losses: 2, Draws: 6
Myanmar - Points: 6 +/-: 2/5, Wins: 0, Losses: 2, Draws: 6
Singapore - Points: 6 +/-: 5/10, Wins: 1, Losses: 4, Draws: 3
Campuchia - Points: 3 +/-: 0/10, Wins: 0, Losses: 5, Draws: 3
Australia - Points: 22 +/-: 23/7, Wins: 7, Losses: 0, Draws: 1
VietNam - Points: 15 +/-: 18/12, Wins: 4, Losses: 1, Draws: 3
Malaisia - Points: 15 +/-: 11/7, Wins: 4, Losses: 1, Draws: 3
Indonesia - Points: 13 +/-: 12/8, Wins: 3, Losses: 1, Draws: 4
Myanmar - Points: 13 +/-: 9/8, Wins: 3, Losses: 1, Draws: 4
ThaiLand - Points: 8 +/-: 4/10, Wins: 2, Losses: 4, Draws: 2
Philipin - Points: 4 +/-: 0/6, Wins: 0, Losses: 4, Draws: 4
Campuchia - Points: 3 +/-: 1/11, Wins: 0, Losses: 5, Draws: 3
Singapore - Points: 2 +/-: 1/10, Wins: 0, Losses: 6, Draws: 2
Australia - Points: 20 +/-: 16/6, Wins: 6, Losses: 0, Draws: 2
Indonesia - Points: 18 +/-: 13/7, Wins: 6, Losses: 2, Draws: 0
Malaisia - Points: 17 +/-: 12/9, Wins: 5, Losses: 1, Draws: 2
VietNam - Points: 13 +/-: 12/12, Wins: 4, Losses: 3, Draws: 1
Campuchia - Points: 8 +/-: 2/7, Wins: 2, Losses: 4, Draws: 2
Singapore - Points: 6 +/-: 4/7, Wins: 1, Losses: 4, Draws: 3
Philipin - Points: 5 +/-: 4/7, Wins: 0, Losses: 3, Draws: 5
Myanmar - Points: 5 +/-: 5/9, Wins: 0, Losses: 3, Draws: 5
ThaiLand - Points: 4 +/-: 5/9, Wins: 0, Losses: 4, Draws: 4
Malaisia - Points: 22 +/-: 19/7, Wins: 7, Losses: 0, Draws: 1
